"OBJECTID","Code","Name","Lat","Lon","Head","DesignQ","Ad_MRC","MeanQ_m3s","InstalledC","MeanAnnual","Cost_MioD","FSL","LSL","LiveStorag","GrossStora","ReservoirA","DamHeight","ReferenceY","ReferenceB","COD","Status","log_IC","status","country","incl","rem","mit","scen"
129,"V013","Sre Pok 4",12.8730555556,107.780555556,17.07,468.9,9568,273,80,329.26,92.45,207,204,8.44,29.32,3.75,25,2008,92.45,2010,"E",1.90308998699194,"existing","V","2","0","0","S0"
130,"V014","Dray Hlinh 1",12.6769444444,107.913333333,15.8,94.9,8880,241,12,94,3.082,302,299,1.5,2.9,0,7,1990,3.082,1990,"E",1.07918124604762,"existing","V","2","0","0","S0"
133,"T002","Huai Kum",16.413,101.797166667,23,5.5,282,76,1.18,2,7.28,312,298,20,20,2.4,35.6,1978,7.28,1982,"E",0.0718820073061254,"existing","T","2","0","0","S0"
135,"T004","Pak Mun",15.2861666667,105.473833333,11.6,1320,117000,24000,136,280,248.08,108,105.5,125,225,60,17,1994,248.08,1994,"E",2.13353890837022,"existing","T","2","0","0","S0"
137,"T006","Ubol Ratana",16.7666666667,102.633333333,16,176.6457428,12104,2309,25.2,56,17.416,182,175.5,1695,2250,401.2,35.1,1960,17.416,1966,"E",1.40140054078154,"existing","T","2","0","0","S0"
138,"T007","Lam Ta Khong P.S.",14.8028333333,101.5505,360,165,1430,261,500,400,613.6,277,261,299.6,319.9,0,40.3,1994,613.6,2001,"E",2.69897000433602,"existing","T","2","0","0","S0"
1,"L001","Nam Ngum 1",18.5305999848,102.550000046,38.5,414.4,8460,427,155,1006,97,212,196,1002,7003.99,369.42,75,1971,97,1971,"E",2.19033169817029,"existing","L","4","0","0","SPR0"
3,"L003","Xelabam",15.3553648392,105.831578188,17,38,6360,185.4,5,23.5,2,119.3,118,0.8,0.8,0.55,3.7,1968,2,1970,"E",0.698970004336019,"removed","L","0","1","0","SPR0"
4,"L004","Xeset 1",15.7596999893,106.331400028,153.4,33,325,18,45,154.3,51,482,479,0.3,2.33,0.1,18,1990,51,1991,"E",1.65321251377534,"removed","L","0","1","0","SPR0"
5,"L005","Theun-Hinboun",18.258299987,104.56110004,225.5,106,8927,460,220,1327,240,400,395,15,29.94,6.25,27,1994,240,1998,"E",2.34242268082221,"existing","L","4","0","0","SPR0"
9,"L009","Nam Ko",20.7841999865,102.11330005,34.5,5.4,223,6,1.5,5,6.7,525,523,0.0045,0,0.0048,6,1996,6.7,1996,"E",0.176091259055681,"existing","L","4","0","0","SPR0"
10,"L010","Nam Ngay",21.8017508954,102.114566694,17,8.5,315,8.5,1.2,3.5,9,455.5,452.5,0.674,0.7,0.25,26.93,2000,9,2002,"E",0.0791812460476248,"existing","L","4","0","0","SPR0"
12,"L012","Xekaman 3",15.4360999912,107.336700023,102,62.24,712,29.56,250,982.8,266,960,925,108.54,141.5,5.2,99,2004,266,2015,"C",2.39794000867204,"existing","L","4","0","0","SPR0"
14,"L014","Nam Ngum 2",18.7532999852,102.776700045,159.5,448,5640,193.5,615,1976,760,375,335,2970,3590,122.2,181,2005,760,2012,"E",2.78887511577542,"existing","L","4","0","0","SPR0"
15,"L015","Nam Lik 1-2",18.7957999846,102.120800047,74.5,187,1993,99.4,100,460,149,305,270,826,1341.8,24.4,101.4,2005,149,2010,"E",2,"existing","L","4","0","0","SPR0"
17,"L017","Xekaman 1",14.963299991,107.151700023,101.2,344,3580,175,290,1096,343.6,230,218,1683,4804,149.8,110,2007,343.6,2017,"C",2.46239799789896,"existing","L","4","0","0","SPR0"
18,"L018","Xekaman-Sanxay",14.8955999872,105.118100031,12.2,378,3740,152,32,123,39.8,122,122,0,0,0,28,2007,39.8,2017,"C",1.50514997831991,"removed","L","0","1","0","SPR0"
19,"L019","Theun-Hinboun expansion",18.258299987,104.56110004,225.5,110,8937,215,220,1395,185,400,395,15,29.94,6.3,27,2007,185,2013,"E",2.34242268082221,"existing","L","4","0","0","SPR0"
20,"L020","Theun-Hinboun exp. (NG8)",18.2791999871,104.63610004,47,134,2942,95.7,60,294,163,455,420,2262,2450,105,67,2007,163,2013,"E",1.77815125038364,"existing","L","4","0","0","SPR0"
21,"L021","Nam Ngum 3",19.0832999856,102.878300046,301,103,3888,98,480,2077,684.7,720,660,1411,1322,27.5,220,2006,684.7,2019,"C",2.68124123737559,"existing","L","4","0","0","SPR0"
22,"L022","Nam Theun1",18.3566999865,104.148300041,130,519.9,14070,263,600,1840,816,292,250,2921,2772,80.7,177,2007,816,2020,"C",2.77815125038364,"existing","L","4","0","0","SPR0"
23,"L023","Nam Ngiep 1",18.6466999859,103.521700043,127,230,3700,147,272,1327,366.2,320,296,1192,2241,66.9,151,2001,366.2,2019,"C",2.4345689040342,"existing","L","4","0","0","SPR0"
24,"L024","Nam Ngiep-regulating dam",18.647799986,103.571900043,10,160,3750,164,18,108,29.7,181,176,4.7,8.29,11.1,21,2001,29.7,2019,"C",1.25527250510331,"existing","L","4","0","0","SPR0"
25,"L025","Nam Tha 1",20.249399985,100.892200051,65.5,289.5,8990,168,168,759.42,333.621,455,442.5,675.5,954.41,64,93.65,2007,333.621,2019,"C",2.22530928172586,"existing","L","4","0","0","SPR0"
28,"L028","Xekatam",15.1353811065,106.589060032,455,16,38,12.25,68,380,120.235,911,890.5,121,126,7.8,41.4,2006,120.235,2020,"E",1.83250891270624,"existing","L","4","0","0","SPR0"
30,"L030","Nam Kong 1",14.5528641293,106.729866692,186,44.5,1250,42,150,469,159.14,320,287,505,682.7,21.8,86.9,2007,159.14,2019,"E",2.17609125905568,"existing","L","4","0","0","SPR0"
34,"L034","Mekong at Don sahong",13.943856,105.956275,17,2400,553000,10310,260,2375,673.3,74.5,72,115,0,2.9,10.6,2007,673.3,2019,"C",2.41497334797082,"removed","L","0","1","0","SPR0"
35,"L035","Nam Ou 1",20.1266999859,102.303300049,16,1308,25979,614,180,829,247.11,305,300,89,157.5,10.712,65,2007,247.11,2019,"E",2.25527250510331,"existing","L","4","0","0","SPR0"
36,"L036","Nam Ou 2",20.3868999863,102.450600049,15,994,22568,533,120,413,145.43,320,316,25.4,73.7,15.66,55,2007,145.43,2016,"C",2.07918124604762,"removed","L","0","1","0","SPR0"
38,"L038","Nam Ou 4",21.1343999871,102.48810005,23,710,11799,295,132,337,105.64,400,395,1145,104,13.9,47,2007,105.64,2019,"E",2.12057393120585,"existing","L","4","0","0","SPR0"
39,"L039","Nam Ou 5",21.4257999873,102.34610005,49,547,10371,280,240,496,175.37,430,425,142,89.5,15.5,55,2007,175.37,2017,"C",2.38021124171161,"existing","L","4","0","0","SPR0"
40,"L040","Nam Ou 6",21.7791999876,102.195300051,60,349,5527,157,180,840,311.99,510,490,246,694.1,16.92,108,2007,311.99,2017,"C",2.25527250510331,"existing","L","4","0","0","SPR0"
41,"L041","Nam Ou 7",22.088299988,102.258300052,104,235,3477,103,210,725,419.74,630,600,1060,1469.2,46.7,147,2007,419.74,2018,"E",2.32221929473392,"existing","L","4","0","0","SPR0"
42,"L042","Nam Lik 1",18.6166999847,102.36694389,19.5,300,5050,224.5,64,255,96.1,195,191,6.8,175.7,14,36.5,2007,96.1,2018,"C",1.80617997398389,"existing","L","4","0","0","SPR0"
44,"L044","Nam Pha",20.8349999855,100.631400052,126,182.1,2837,76.5,180,577,257,550,515,2331,4177.89,106.7,139.1,2008,257,2016,"C",2.25527250510331,"removed","L","0","1","0","SPR0"
48,"L048","Nam Beng",19.9499999849,101.23030005,70,43.2,2108,32.3,36,120,59.6,435,430,0.3496,3.611,0.724,37.7,2008,59.6,2018,"C",1.55630250076729,"existing","L","4","0","0","SPR0"
54,"L054","Mekong at Xayabuly",19.246528,101.818906,29,5000,272000,3990,1260,6035.3,1405.7,275,268,212,726.02,49,53,2008,1405.7,2019,"C",3.10037054511756,"removed","L","0","1","0","SPR0"
67,"L067","Nam Khan 2",19.6849658284,102.320576576,138.7,109.5,5221,64.4,130,578.6,218.5,470,450,528,1217,30,155,2007,218.5,2015,"E",2.11394335230684,"existing","L","4","0","0","SPR0"
68,"L068","Nam Khan 3 (Down)",19.7639668657,102.773417406,39,176.8,3392,37,60,222.38,97.5,560,532,48,3249.5,0,90,2007,97.5,2016,"E",1.77815125038364,"existing","L","4","0","0","SPR0"
75,"L075","Nam Poun",18.4638999837,101.469400047,70,148.8,1700,87.5,50,342,138.3,300,280,250,473.4,32.25,76,2008,138.3,2017,"C",1.69897000433602,"existing","L","4","0","0","SPR0"
99,"L099","Nam Kong 2",14.4927100743,106.85323525,97.9,76.2,860,45,66,309.5,124.5,460,437,30.58,166.2,4.2,72.1,2007,124.5,2018,"C",1.81954393554187,"existing","L","4","0","0","SPR0"
102,"C002","Lower Se San 2",13.5533,106.2,28.5,2118,49200,1306,400,1953.9,790.26,75,74,333.2,1792.5,334.38,45,2009,790.26,2017,"C",2.60205999132796,"removed","C","0","1","0","SPR0"
118,"V002","Plei Krong",14.4083333333,107.861111111,31,367.6,3216,128,100,417.2,178.765,570,537,948,1048.7,53.28,71,2003,178.765,2009,"E",2,"existing","V","4","0","0","SPR0"
119,"V003","Yali",14.2227777778,107.793055556,190,424,7455,262,720,3658.56,456.119,515,490,779.02,1037.1,64.5,71,1992,456.119,2002,"E",2.85733249643127,"existing","V","4","0","0","SPR0"
120,"V004","Se San 3",14.2166666667,107.7,60.5,486,7788,274,260,1224.6,236.323,304.5,303.2,3.8,92,3.4,69.5,2003,236.323,2006,"E",2.41497334797082,"existing","V","4","0","0","SPR0"
121,"V005","Se San 3A",14.1061111111,107.655,21.5,500,8084,283,96,479.3,121.667,239,238.5,4,80.6,8.8,35,2005,121.667,2007,"E",1.98227123303957,"existing","V","4","0","0","SPR0"
122,"V006","Se San 4",13.9666666667,107.5,56,719,9326,328.9,360,1420.1,349.76,215,210,264.16,893.3,58.4,74.13,2004,349.76,2010,"E",2.55630250076729,"existing","V","4","0","0","SPR0"
123,"V007","Se San 4A",13.9333333333,107.466388889,63,594.2,9368,330,63,296.9,79.13,155.2,150,7.5,13.1,1.75,31.5,2011,79.13,2011,"E",1.79934054945358,"existing","V","4","0","0","SPR0"
125,"V009","Buon Tua Srah",12.2852777778,108.047777778,46.5,204.9,2930,102,86,358.6,135.958,487.5,467.5,522.6,787,37.1,83,2004,135.958,2009,"E",1.93449845124357,"existing","V","4","0","0","SPR0"
126,"V010","Buon Kuop",12.5244444444,107.931388889,98.5,316,7980,217,280,1458.6,299.958,412,409,25.63,73.78,5.6,34,2003,299.958,2009,"E",2.44715803134222,"existing","V","4","0","0","SPR0"
127,"V011","Dray Hlinh 2",12.6769444444,107.913333333,18.5,101.02,8880,241,16,85.04,13.49,302,299,1.5,2.9,0,7,2006,13.49,2007,"E",1.20411998265592,"existing","V","4","0","0","SPR0"
128,"V012","Sre Pok 3",12.7541666667,107.861388889,60,412.8,9410,250.6,220,1060.2,266.89,272,267,62.85,218.99,17.68,52.5,2005,266.89,2010,"E",2.34242268082221,"existing","V","4","0","0","SPR0"
129,"V013","Sre Pok 4",12.8730555556,107.780555556,17.07,468.9,9568,273,80,329.26,92.45,207,204,8.44,29.32,3.75,25,2008,92.45,2010,"E",1.90308998699194,"existing","V","4","0","0","SPR0"
130,"V014","Dray Hlinh 1",12.6769444444,107.913333333,15.8,94.9,8880,241,12,94,3.082,302,299,1.5,2.9,0,7,1990,3.082,1990,"E",1.07918124604762,"existing","V","4","0","0","SPR0"
133,"T002","Huai Kum",16.413,101.797166667,23,5.5,282,76,1.18,2,7.28,312,298,20,20,2.4,35.6,1978,7.28,1982,"E",0.0718820073061254,"existing","T","4","0","0","SPR0"
135,"T004","Pak Mun",15.2861666667,105.473833333,11.6,1320,117000,24000,136,280,248.08,108,105.5,125,225,60,17,1994,248.08,1994,"E",2.13353890837022,"removed","T","0","1","0","SPR0"
137,"T006","Ubol Ratana",16.7666666667,102.633333333,16,176.6457428,12104,2309,25.2,56,17.416,182,175.5,1695,2250,401.2,35.1,1960,17.416,1966,"E",1.40140054078154,"removed","T","0","1","0","SPR0"
138,"T007","Lam Ta Khong P.S.",14.8028333333,101.5505,360,165,1430,261,500,400,613.6,277,261,299.6,319.9,0,40.3,1994,613.6,2001,"E",2.69897000433602,"existing","T","4","0","0","SPR0"
1,"L001","Nam Ngum 1",18.5305999848,102.550000046,38.5,414.4,8460,427,155,1006,97,212,196,1002,7003.99,369.42,75,1971,97,1971,"E",2.19033169817029,"existing","L","3","0","0","SP0"
3,"L003","Xelabam",15.3553648392,105.831578188,17,38,6360,185.4,5,23.5,2,119.3,118,0.8,0.8,0.55,3.7,1968,2,1970,"E",0.698970004336019,"retrofitted","L","3","2","0","SP0"
4,"L004","Xeset 1",15.7596999893,106.331400028,153.4,33,325,18,45,154.3,51,482,479,0.3,2.33,0.1,18,1990,51,1991,"E",1.65321251377534,"retrofitted","L","3","2","0","SP0"
5,"L005","Theun-Hinboun",18.258299987,104.56110004,225.5,106,8927,460,220,1327,240,400,395,15,29.94,6.25,27,1994,240,1998,"E",2.34242268082221,"existing","L","3","0","0","SP0"
9,"L009","Nam Ko",20.7841999865,102.11330005,34.5,5.4,223,6,1.5,5,6.7,525,523,0.0045,0,0.0048,6,1996,6.7,1996,"E",0.176091259055681,"existing","L","3","0","0","SP0"
10,"L010","Nam Ngay",21.8017508954,102.114566694,17,8.5,315,8.5,1.2,3.5,9,455.5,452.5,0.674,0.7,0.25,26.93,2000,9,2002,"E",0.0791812460476248,"existing","L","3","0","0","SP0"
12,"L012","Xekaman 3",15.4360999912,107.336700023,102,62.24,712,29.56,250,982.8,266,960,925,108.54,141.5,5.2,99,2004,266,2015,"C",2.39794000867204,"existing","L","3","0","0","SP0"
14,"L014","Nam Ngum 2",18.7532999852,102.776700045,159.5,448,5640,193.5,615,1976,760,375,335,2970,3590,122.2,181,2005,760,2012,"E",2.78887511577542,"existing","L","3","0","0","SP0"
15,"L015","Nam Lik 1-2",18.7957999846,102.120800047,74.5,187,1993,99.4,100,460,149,305,270,826,1341.8,24.4,101.4,2005,149,2010,"E",2,"existing","L","3","0","0","SP0"
17,"L017","Xekaman 1",14.963299991,107.151700023,101.2,344,3580,175,290,1096,343.6,230,218,1683,4804,149.8,110,2007,343.6,2017,"C",2.46239799789896,"existing","L","3","0","0","SP0"
18,"L018","Xekaman-Sanxay",14.8955999872,105.118100031,12.2,378,3740,152,32,123,39.8,122,122,0,0,0,28,2007,39.8,2017,"C",1.50514997831991,"retrofitted","L","3","2","0","SP0"
19,"L019","Theun-Hinboun expansion",18.258299987,104.56110004,225.5,110,8937,215,220,1395,185,400,395,15,29.94,6.3,27,2007,185,2013,"E",2.34242268082221,"existing","L","3","0","0","SP0"
20,"L020","Theun-Hinboun exp. (NG8)",18.2791999871,104.63610004,47,134,2942,95.7,60,294,163,455,420,2262,2450,105,67,2007,163,2013,"E",1.77815125038364,"existing","L","3","0","0","SP0"
21,"L021","Nam Ngum 3",19.0832999856,102.878300046,301,103,3888,98,480,2077,684.7,720,660,1411,1322,27.5,220,2006,684.7,2019,"C",2.68124123737559,"existing","L","3","0","0","SP0"
22,"L022","Nam Theun1",18.3566999865,104.148300041,130,519.9,14070,263,600,1840,816,292,250,2921,2772,80.7,177,2007,816,2020,"C",2.77815125038364,"existing","L","3","0","0","SP0"
23,"L023","Nam Ngiep 1",18.6466999859,103.521700043,127,230,3700,147,272,1327,366.2,320,296,1192,2241,66.9,151,2001,366.2,2019,"C",2.4345689040342,"existing","L","3","0","0","SP0"
24,"L024","Nam Ngiep-regulating dam",18.647799986,103.571900043,10,160,3750,164,18,108,29.7,181,176,4.7,8.29,11.1,21,2001,29.7,2019,"C",1.25527250510331,"existing","L","3","0","0","SP0"
25,"L025","Nam Tha 1",20.249399985,100.892200051,65.5,289.5,8990,168,168,759.42,333.621,455,442.5,675.5,954.41,64,93.65,2007,333.621,2019,"C",2.22530928172586,"existing","L","3","0","0","SP0"
28,"L028","Xekatam",15.1353811065,106.589060032,455,16,38,12.25,68,380,120.235,911,890.5,121,126,7.8,41.4,2006,120.235,2020,"E",1.83250891270624,"existing","L","3","0","0","SP0"
30,"L030","Nam Kong 1",14.5528641293,106.729866692,186,44.5,1250,42,150,469,159.14,320,287,505,682.7,21.8,86.9,2007,159.14,2019,"E",2.17609125905568,"existing","L","3","0","0","SP0"
34,"L034","Mekong at Don sahong",13.943856,105.956275,17,2400,553000,10310,260,2375,673.3,74.5,72,115,0,2.9,10.6,2007,673.3,2019,"C",2.41497334797082,"retrofitted","L","3","2","0","SP0"
35,"L035","Nam Ou 1",20.1266999859,102.303300049,16,1308,25979,614,180,829,247.11,305,300,89,157.5,10.712,65,2007,247.11,2019,"E",2.25527250510331,"existing","L","3","0","0","SP0"
36,"L036","Nam Ou 2",20.3868999863,102.450600049,15,994,22568,533,120,413,145.43,320,316,25.4,73.7,15.66,55,2007,145.43,2016,"C",2.07918124604762,"existing","L","3","0","0","SP0"
38,"L038","Nam Ou 4",21.1343999871,102.48810005,23,710,11799,295,132,337,105.64,400,395,1145,104,13.9,47,2007,105.64,2019,"E",2.12057393120585,"existing","L","3","0","0","SP0"
39,"L039","Nam Ou 5",21.4257999873,102.34610005,49,547,10371,280,240,496,175.37,430,425,142,89.5,15.5,55,2007,175.37,2017,"C",2.38021124171161,"existing","L","3","0","0","SP0"
40,"L040","Nam Ou 6",21.7791999876,102.195300051,60,349,5527,157,180,840,311.99,510,490,246,694.1,16.92,108,2007,311.99,2017,"C",2.25527250510331,"existing","L","3","0","0","SP0"
41,"L041","Nam Ou 7",22.088299988,102.258300052,104,235,3477,103,210,725,419.74,630,600,1060,1469.2,46.7,147,2007,419.74,2018,"E",2.32221929473392,"existing","L","3","0","0","SP0"
42,"L042","Nam Lik 1",18.6166999847,102.36694389,19.5,300,5050,224.5,64,255,96.1,195,191,6.8,175.7,14,36.5,2007,96.1,2018,"C",1.80617997398389,"existing","L","3","0","0","SP0"
44,"L044","Nam Pha",20.8349999855,100.631400052,126,182.1,2837,76.5,180,577,257,550,515,2331,4177.89,106.7,139.1,2008,257,2016,"C",2.25527250510331,"existing","L","3","0","0","SP0"
48,"L048","Nam Beng",19.9499999849,101.23030005,70,43.2,2108,32.3,36,120,59.6,435,430,0.3496,3.611,0.724,37.7,2008,59.6,2018,"C",1.55630250076729,"existing","L","3","0","0","SP0"
54,"L054","Mekong at Xayabuly",19.246528,101.818906,29,5000,272000,3990,1260,6035.3,1405.7,275,268,212,726.02,49,53,2008,1405.7,2019,"C",3.10037054511756,"existing","L","3","0","0","SP0"
67,"L067","Nam Khan 2",19.6849658284,102.320576576,138.7,109.5,5221,64.4,130,578.6,218.5,470,450,528,1217,30,155,2007,218.5,2015,"E",2.11394335230684,"existing","L","3","0","0","SP0"
68,"L068","Nam Khan 3 (Down)",19.7639668657,102.773417406,39,176.8,3392,37,60,222.38,97.5,560,532,48,3249.5,0,90,2007,97.5,2016,"E",1.77815125038364,"existing","L","3","0","0","SP0"
75,"L075","Nam Poun",18.4638999837,101.469400047,70,148.8,1700,87.5,50,342,138.3,300,280,250,473.4,32.25,76,2008,138.3,2017,"C",1.69897000433602,"existing","L","3","0","0","SP0"
99,"L099","Nam Kong 2",14.4927100743,106.85323525,97.9,76.2,860,45,66,309.5,124.5,460,437,30.58,166.2,4.2,72.1,2007,124.5,2018,"C",1.81954393554187,"existing","L","3","0","0","SP0"
102,"C002","Lower Se San 2",13.5533,106.2,28.5,2118,49200,1306,400,1953.9,790.26,75,74,333.2,1792.5,334.38,45,2009,790.26,2017,"C",2.60205999132796,"retrofitted","C","3","2","0","SP0"
118,"V002","Plei Krong",14.4083333333,107.861111111,31,367.6,3216,128,100,417.2,178.765,570,537,948,1048.7,53.28,71,2003,178.765,2009,"E",2,"existing","V","3","0","0","SP0"
119,"V003","Yali",14.2227777778,107.793055556,190,424,7455,262,720,3658.56,456.119,515,490,779.02,1037.1,64.5,71,1992,456.119,2002,"E",2.85733249643127,"existing","V","3","0","0","SP0"
120,"V004","Se San 3",14.2166666667,107.7,60.5,486,7788,274,260,1224.6,236.323,304.5,303.2,3.8,92,3.4,69.5,2003,236.323,2006,"E",2.41497334797082,"existing","V","3","0","0","SP0"
121,"V005","Se San 3A",14.1061111111,107.655,21.5,500,8084,283,96,479.3,121.667,239,238.5,4,80.6,8.8,35,2005,121.667,2007,"E",1.98227123303957,"existing","V","3","0","0","SP0"
122,"V006","Se San 4",13.9666666667,107.5,56,719,9326,328.9,360,1420.1,349.76,215,210,264.16,893.3,58.4,74.13,2004,349.76,2010,"E",2.55630250076729,"existing","V","3","0","0","SP0"
123,"V007","Se San 4A",13.9333333333,107.466388889,63,594.2,9368,330,63,296.9,79.13,155.2,150,7.5,13.1,1.75,31.5,2011,79.13,2011,"E",1.79934054945358,"existing","V","3","0","0","SP0"
125,"V009","Buon Tua Srah",12.2852777778,108.047777778,46.5,204.9,2930,102,86,358.6,135.958,487.5,467.5,522.6,787,37.1,83,2004,135.958,2009,"E",1.93449845124357,"existing","V","3","0","0","SP0"
126,"V010","Buon Kuop",12.5244444444,107.931388889,98.5,316,7980,217,280,1458.6,299.958,412,409,25.63,73.78,5.6,34,2003,299.958,2009,"E",2.44715803134222,"existing","V","3","0","0","SP0"
127,"V011","Dray Hlinh 2",12.6769444444,107.913333333,18.5,101.02,8880,241,16,85.04,13.49,302,299,1.5,2.9,0,7,2006,13.49,2007,"E",1.20411998265592,"existing","V","3","0","0","SP0"
128,"V012","Sre Pok 3",12.7541666667,107.861388889,60,412.8,9410,250.6,220,1060.2,266.89,272,267,62.85,218.99,17.68,52.5,2005,266.89,2010,"E",2.34242268082221,"existing","V","3","0","0","SP0"
129,"V013","Sre Pok 4",12.8730555556,107.780555556,17.07,468.9,9568,273,80,329.26,92.45,207,204,8.44,29.32,3.75,25,2008,92.45,2010,"E",1.90308998699194,"existing","V","3","0","0","SP0"
130,"V014","Dray Hlinh 1",12.6769444444,107.913333333,15.8,94.9,8880,241,12,94,3.082,302,299,1.5,2.9,0,7,1990,3.082,1990,"E",1.07918124604762,"existing","V","3","0","0","SP0"
133,"T002","Huai Kum",16.413,101.797166667,23,5.5,282,76,1.18,2,7.28,312,298,20,20,2.4,35.6,1978,7.28,1982,"E",0.0718820073061254,"existing","T","3","0","0","SP0"
135,"T004","Pak Mun",15.2861666667,105.473833333,11.6,1320,117000,24000,136,280,248.08,108,105.5,125,225,60,17,1994,248.08,1994,"E",2.13353890837022,"retrofitted","T","3","2","0","SP0"
137,"T006","Ubol Ratana",16.7666666667,102.633333333,16,176.6457428,12104,2309,25.2,56,17.416,182,175.5,1695,2250,401.2,35.1,1960,17.416,1966,"E",1.40140054078154,"retrofitted","T","3","2","0","SP0"
138,"T007","Lam Ta Khong P.S.",14.8028333333,101.5505,360,165,1430,261,500,400,613.6,277,261,299.6,319.9,0,40.3,1994,613.6,2001,"E",2.69897000433602,"existing","T","3","0","0","SP0"
